Level,Bundle Name,Symbolic Name,Dependencies,Nº of compile errors before automation,Nº of compile errors after automation,Automation suggested fix?,Nº of errors fixed by suggestions,Nº of errors fixed (Total),Obs
1,:modules:sample-service-builder:sample-service-builder-api,:modules:sample-service-builder:sample-service-builder-api,,1,0,FALSE,,0,
1,sample-rest-builder-api,sample-rest-builder-api,,1,0,FALSE,,0,
1,sample-rest-builder-client,sample-rest-builder-client,,1,0,FALSE,,0,
1,panel-app,panel-app,,1,0,FALSE,,0,
1,sample-mvc-portlet,sample-mvc-portlet,,1,0,FALSE,,0,
1,sample-theme,sample-theme,,1,0,FALSE,,0,
1,scheduler-job-sample,scheduler-job-sample,,1,0,FALSE,,0,
1,sso-integration,sso-integration,,1,0,FALSE,,0,
2,sample-rest-builder-impl,sample-rest-builder-impl,:modules:sample-service-builder:sample-service-builder-api sample-rest-builder-api,1,0,FALSE,,0,
2,sample-rest-builder-test,sample-rest-builder-test,sample-rest-builder-client sample-rest-builder-api,1,0,FALSE,,0,
2,sample-service-builder-service,sample-service-builder-service,:modules:sample-service-builder:sample-service-builder-api,1,0,FALSE,,0,
